N,Time_ms,Allocs,Memory_MiB
100,5.969083,61043,4.0586395263671875
1000,33.781777,247880,40.28533172607422
10000,331.949817,3391768,881.4311904907227
100000,8701.469791,79523652,22006.820198059082
1000000,163510.673889,1161377573,321579.7120819092
