N,Time_ms,Allocs,Memory_MiB
100,29.130766,100032,2.8916854858398438
1000,63.733228,224532,6.647735595703125
10000,137.79265,487969,15.24365234375
100000,189.344559,661618,29.39514923095703
1000000,379.285267,1189070,137.53497314453125
10000000,1460.4943845,1684388,1183.6859283447266
