N,Time_ms,Allocs,Memory_MiB
100,2.899108,19390,1.9771194458007812
1000,4.855288,40062,4.794258117675781
10000,20.605356,60247,27.807029724121094
100000,172.111521,144935,230.69091796875
1000000,2920.3783085,736293,2898.0613174438477
