category,time_ms,percent,calls
kernel_compact,2.1564,36.12,17
scan_primitive,1.5516,25.99,3
cpu_candidates,0.3961,6.63,6
compute_simplex,0.356,5.96,1
cpu_mesh_update,0.3266,5.47,3
kernel_sort,0.2877,4.82,3
kernel_mark_farthest,0.208,3.48,3
kernel_assign,0.1741,2.92,4
ak_reduce,0.1645,2.76,3
pcie_transfer,0.102,1.71,6
gpu_alloc,0.1004,1.68,13
kernel_distance,0.1001,1.68,3
cpu_mesh_bfs,0.0461,0.77,7
sync_overhead,0.0,0.0,0
