category,time_ms,percent,calls
scan_primitive,1676.8249,55.43,11
kernel_compact,1337.8556,44.22,65
cpu_mesh_update,4.0152,0.13,11
cpu_candidates,1.6362,0.05,22
kernel_assign,1.0051,0.03,12
kernel_sort,0.9685,0.03,11
cpu_mesh_bfs,0.5899,0.02,142
kernel_mark_farthest,0.5363,0.02,11
ak_reduce,0.4512,0.01,11
compute_simplex,0.4177,0.01,1
pcie_transfer,0.3435,0.01,22
gpu_alloc,0.2587,0.01,45
kernel_distance,0.2532,0.01,11
sync_overhead,0.0,0.0,0
