category,time_ms,percent,calls
kernel_compact,162.9944,28.56,137
kernel_sort,158.8053,27.83,23
scan_primitive,89.8635,15.75,23
compute_simplex,57.8075,10.13,1
kernel_assign,40.2448,7.05,24
cpu_mesh_update,22.3458,3.92,23
kernel_mark_farthest,9.4234,1.65,23
kernel_distance,8.8937,1.56,23
cpu_candidates,7.7321,1.36,46
gpu_alloc,4.5136,0.79,93
cpu_mesh_bfs,4.1574,0.73,713
ak_reduce,2.8911,0.51,23
pcie_transfer,0.9646,0.17,46
sync_overhead,0.0,0.0,0
